family	candidate	panel_role	selected_semantic_scope	whole_exec_rxas	main_exec_rxas	peak_main_locals	rxas_bytes	rxbin_bytes	selected_path_or_decoder_instr	normalized_instr_rxvm	normalized_instr_rxbvm	machine_work_delta	wall_rxvm	wall_rxbvm	correctness_floor	disposition	efficient_correct_owner
CAS	CAS-C0	current_clean_inline	four RexxCPS literal/computed UPPER actuals	1498	573	105	220731	77438	17_hot_block	5260.985800	5263.193542	56 normal calls and STRUPPER scans per outer	29015504_cps	27416214_cps	current product	baseline	Level B normal-call fallback
CAS	CAS-L0	current_body_symbol_inline	direct symbol actuals only	1506	581	113	224205	78610	25_hot_block	5145.986604	5147.941373	removes about 56 calls/frames; retains 56 scans; adds inline result scaffold	31128284_cps	29408680_cps	dual-VM guards	proved current eligibility; not best placement	current PERF2-03 inliner
CAS	CAS-H1	hand_equivalent_ceiling	dynamic evaluated-once inputs	1536	611	113	228697	80506	13_hot_block	4977.985849	4979.953137	removes call and inline result scaffold; retains about 56 STRUPPER scans	31560526_cps	29657075_cps	dual-VM source/result guards	selected dynamic-input design	compiler exact-body direct-result composition
CAS	CAS-A1	best_levelb_algorithm	general UPPER semantics	n/a	n/a	n/a	n/a	n/a	one_STRUPPER	n/a	n/a	current Level B source is already one semantic primitive	not_timed_separately	not_timed_separately	current BIF tests	clean algorithm; fallback	maintained Level B source
CAS	CAS-L2	compiler_constant_ceiling	four exact canonical RexxCPS constants	1511	586	109	224587	78914	9_hot_block	4921.057963	4921.983585	removes about 56 runtime STRUPPER scans; -6.461295%/-6.482945% instructions	32707396_cps_plus12.724pct	30566014_cps_plus11.489pct	dual-VM exact-value guards	strongest selected exact-site ceiling	compiler trace-safe canonical constant evaluation
CAS	CAS-V1	general_assist_control	general UPPER semantics	not_built	not_built	not_built	not_built	not_built	existing_STRUPPER	n/a	n/a	new assist would duplicate existing primitive	n/a	n/a	current RXAS/VM tests	rejected before implementation	existing STRUPPER
CAS	CAS-N1	native_intrinsic_control	general UPPER semantics	not_built	not_built	not_built	not_built	not_built	canonical_VM_STRUPPER	n/a	n/a	cannot beat zero-runtime exact fold; adds ownership surface	n/a	n/a	current VM mapping contract	native upper bound only; rejected as BIF owner	compiler plus existing VM primitive
LEN	LEN-C0	current_clean_inline	RexxCPS decimal-to-string positive values	1498	573	105	220731	77438	9_selected_path	5260.980200	5260.985800	28 DTOS plus STRLEN and 84 result-scaffold instructions per outer	29363287_cps	27533292_cps	current product	baseline	Level B inline fallback
LEN	LEN-H1	hand_equivalent_ceiling	RexxCPS decimal-to-string positive values	1510	585	107	222737	78270	6_selected_path	5176.980800	5176.980800	-84 instructions per outer; DTOS/STRLEN/copies/allocations unchanged	29362309_cps_minus0.003331pct	27739431_cps_plus0.748690pct	36/36 wall invocations plus dual-VM guards	neutral; reject standalone production slice	compiler result/block-exit cleanup only if future materiality reopens F03
LEN	LEN-A1	best_levelb_algorithm	general LENGTH semantics	n/a	n/a	n/a	n/a	n/a	one_STRLEN	n/a	n/a	current source already reaches one Unicode length primitive	n/a	n/a	focused LENGTH tests	clean Level B already at algorithm ceiling	maintained Level B source
LEN	LEN-L1	compiler_composition	proved direct result placement	not_installed	not_installed	not_installed	not_installed	not_installed	same_as_LEN-H1	n/a	n/a	exact machine reduction but no reliable dual-VM wall gain	n/a	n/a	would require TRACE/import guards	rejected now	compiler F03 owner if later reopened
LEN	LEN-V1	general_assist_control	general LENGTH semantics	not_built	not_built	not_built	not_built	not_built	existing_STRLEN	n/a	n/a	no missing semantic unit	n/a	n/a	current RXAS/VM tests	rejected before implementation	existing STRLEN
LEN	LEN-N1	native_intrinsic_control	general LENGTH semantics	not_built	not_built	not_built	not_built	not_built	canonical_VM_STRLEN	n/a	n/a	cannot remove selected conversion or Unicode scan	n/a	n/a	current VM contract	native upper bound only; rejected as BIF owner	compiler plus existing VM primitive
SLC	SLC-C0	current_clean_inline	two constant positive in-range supplied-length SUBSTR sites	1498	573	105	220731	77438	32_and_32_executed	5262.067143	5263.193542	42 slices plus validation/default/result work per outer	28818112_cps	27540875_cps	current product	baseline	Level B inline fallback
SLC	SLC-H1	hand_equivalent_ceiling	exact private operands with proved valid ranges	1449	524	109	214819	76046	6_and_4_executed	4112.959412	4114.144242	about -1149 instructions; removes repeated length/branches/copies while retaining 42 slices	31318043_cps_plus8.674860pct	29437133_cps_plus6.885250pct	54/54 matrix invocations pass	selected dynamic/range composition control	compiler composition of existing cursor/slice primitives
SLC	SLC-A1	best_levelb_algorithm	general SUBSTR/LEFT/RIGHT semantics	n/a	n/a	n/a	n/a	n/a	current safe taken path already one slice	n/a	n/a	no general source rewrite beats proof specialization	n/a	n/a	focused family tests	retain general Level B algorithm	maintained Level B source
SLC	SLC-CF1	compiler_constant_ceiling	two exact canonical constants	1436	511	102	209153	73922	4_and_0_executed	3972.971471	3973.557313	-1288 instructions vs current; removes all 42 selected SUBSTRING operations	32145168_cps_plus11.545017pct	29765360_cps_plus8.077031pct	54/54 matrix invocations pass	strongest selected exact-site ceiling	compiler trace-safe canonical constant evaluation
SLC	SLC-V1	general_assist_control	general nonmutating span/slice	not_built	not_built	not_built	not_built	not_built	n/a	n/a	n/a	existing composition reaches selected ceiling; lacks multiple product sites	n/a	n/a	would need alias/cursor/effect tests	rejected before implementation	compiler composition
SLC	SLC-N1	native_intrinsic_control	general SUBSTR semantics	not_built	not_built	not_built	not_built	not_built	n/a	n/a	n/a	cannot beat zero-runtime exact fold	n/a	n/a	full semantics not prototyped	native upper bound only; rejected as owner	compiler plus Level B fallback
WRD	WORD-C0	current_clean_inline	word("Key Bee",1) compared with "?"	2254	541	105	363990	118058	29_executed	5224.412100	5224.412100	28 blank scans/slices/results/comparisons per outer	29310271_cps	27801847_cps	guarded current cell	baseline	Level B inline fallback
WRD	WORD-L1	best_levelb_algorithm	general safe first-word equals one-codepoint predicate	2238	525	105	363261	117682	14_executed	4804.409300	4804.415400	-420 instructions per outer; removes result materialization/copy	algorithm_control_only	algorithm_control_only	10 semantic cases on both VMs	safe algorithm control; not product owner	compiler consumer fusion shape
WRD	WORD-H1	hand_equivalent_ceiling	exact nonempty first-word predicate site	2228	515	110	361844	117802	6_executed	4706.412200	4706.412200	-518 instructions per outer; no result string	30257667_cps_plus3.232300pct	28724104_cps_plus3.317251pct	54/54 wall invocations plus semantic guards	selected dynamic predicate ceiling	compiler consumer/value composition
WRD	WORD-CF1	compiler_constant_ceiling	exact "Key Bee" and "?" operands	2208	495	105	357336	116242	0_executed	4412.409100	4412.409300	-812 instructions; removes all selected scans/slices/result copies	31277784_cps_plus6.712708pct	29696325_cps_plus6.814216pct	54/54 wall invocations plus semantic guards	strongest selected exact-site ceiling	compiler trace-safe constant/value propagation
WRD	WORD-V1	general_assist_control	general word span/extract	not_built	not_built	not_built	not_built	not_built	n/a	n/a	n/a	one real timed site fails generality/adoption gate	n/a	n/a	would need full Unicode/alias/TRACE surface	rejected before implementation	compiler composition plus Level B fallback
WRD	WORD-N1	native_intrinsic_control	general WORD family	not_built	not_built	not_built	not_built	not_built	n/a	n/a	n/a	cannot beat zero-runtime exact result and lacks general proof	n/a	n/a	full semantics not prototyped	native upper bound only; rejected as owner	compiler plus Level B fallback
SRC	SRC-C0	current_clean_inline	validated POS uses	75	n/a	10	18240	8384	one_STRPOS_after_validation	n/a	n/a	primitive already owns search	setup/Base64_only	setup/Base64_only	focused POS tests	clean Level B already at ceiling	current Level B inline/compiler composition
SRC	SRC-H1/L1/V1/N1	all_other_panel_controls	current material POS sites	not_built	not_built	not_built	not_built	not_built	converges_on_existing_STRPOS	n/a	n/a	no wrapper or primitive deficit remains after inline	n/a	n/a	current semantic tests	rejected as duplicate mechanism	existing STRPOS
DAT/CNV	CNV-C0	current_clean_inline	optimized Tier A product	1267	n/a	49	260209	100438	zero_dynamic_BIF_calls	n/a	n/a	static size only; no current dynamic Level B candidate	n/a	n/a	current library tests	not currently material	Level B fallback; representation conversions routed PERF2-07
DAT/CNV	CNV-H1/A1/L1/V1/N1	all_other_panel_controls	no selected dynamic BIF case	not_built	not_built	not_built	not_built	not_built	n/a	n/a	n/a	would answer an unselected or wrong-owner question	n/a	n/a	no deciding cell	rejected/evidence missing for PERF2-04	PERF2-07 for language/value representation
COMBINED	CF-COMB1	cumulative_exact_ceiling	CAS-L2 plus SLC-CF1 plus WORD-CF1; excludes LENGTH and Base64	2172	not_separately_reported	109	349632	113938	all_three_selected_runtime_paths_removed	2812.821111	2813.374124	-46.523717%/-46.534811% normalized instructions versus exact current	38924099_cps_plus32.877919pct	36963282_cps_plus34.400093pct	28/28 recorded executions pass; wins 7/7 paired rounds per VM	select full three-slice compiler ladder; scratch ceiling only	independent CAS then SLC then WRD compiler slices
B64	B64-C0	current_levelb_algorithm	fixed-valid 1024-byte round trip	404_decoder	404_decoder	40_decoder	n/a	n/a	93452.928_per_rep	46726464_total	46726464_total	2907504 string copies carrying 1877756578 bytes; repeated slice/search	1775.334_ms	1812.428_ms	exact output length/bytes/checksum	algorithm opportunity	maintained current benchmark control
B64	B64-A1	best_levelb_poschar_algorithm	fixed-valid standard alphabet	90_decoder	90_decoder	28_decoder	n/a	n/a	33575.928_per_rep	16787964_total	16787964_total	1004 copies/2058598 bytes but 683003 hidden alphabet scans	580.242_ms_3.059644x	611.462_ms_2.964089x	exact output length/bytes/checksum	positive intermediate control	Level B algorithm
B64	B64-A2	best_levelb_arithmetic_algorithm	fixed-valid standard ASCII alphabet	209_decoder	209_decoder	36_decoder	n/a	n/a	42863.928_per_rep	21431964_total	21431964_total	1004 copies/2058604 bytes; removes repeated alphabet search	145.622_ms_12.191386x	171.654_ms_10.558612x	exact output length/bytes/checksum	selected future API algorithm; no PERF2-04 slice	separate pure Level B Base64 API under CAP-03
B64	B64-L1/V1	compiler_or_assist_controls	one current benchmark site	not_built	not_built	not_built	not_built	not_built	n/a	n/a	n/a	compiler cannot infer benchmark alphabet semantics; existing STRCHAR/POSCHAR suffice; one site fails assist gate	n/a	n/a	cursor/effect gap retained	rejected before implementation	Level B algorithm
B64	B64-N1	native_upper_bound	fixed-valid standard alphabet only	standalone_C	n/a	n/a	n/a	33824_binary_bytes	n/a	n/a	n/a	no VM instruction/copy work; semantics deliberately incomplete	4.480_ms_396.28x	4.480_ms_404.56x	valid input/output only	native upper bound only; rejected as API owner	Level B semantic API with optional future backend
